"block_id","conc_r","conc_c","response","drug_row","drug_col","conc_r_unit","conc_c_unit","cell_line_name","drug_row_cid","drug_col_cid","row","col","synergy_zip","synergy_hsa","synergy_bliss","synergy_loewe"
2,1.08,0.08,29.1606287594195,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,3,3,14.7615702649311,24.1221170344217,22.9025002093391,16.4008300376441
2,1.08,0.2,70.7470353001128,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,3,4,30.6155395483026,38.2450661359676,37.3781682993635,34.167695184109
2,1.08,0.5,89.7671249309181,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,3,5,7.46359043275905,8.95536577275736,8.7089254990499,-7.79686327479811
2,10,0,34.290040426391,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,5,1,0,0,0,0
2,10,0.0325,40.4247338097369,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,5,2,5.11949968706762,6.1346517403941,5.73916948036025,4.93368209644789
2,10,0.08,46.1431938362107,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,5,3,-12.0003108330932,11.8530729493524,8.54197543165522,9.3548960738168
2,10,0.2,63.6835712211951,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,5,4,9.37098065650261,29.3933312683876,8.03631496294767,25.6274978965133
2,10,0.5,87.2528439013212,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,5,5,-0.583539019828279,6.44110181036775,-0.138615501026877,-11.660108808266
2,3.25,0,13.4688299273716,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,4,1,0,0,0,0
2,3.25,0.0325,27.3702821363007,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,4,2,10.3787231369748,13.9013578443915,13.3805609526302,8.21353525285923
2,3.25,0.08,34.7478245649834,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,4,3,2.91498372886803,21.2788501935306,16.9185805435401,7.84517621232139
2,3.25,0.2,58.8367606483041,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,4,4,20.6896419252072,26.3348723323713,17.2433076294685,20.9557233124566
2,3.25,0.5,88.7193698257479,"5-FU","AZD1775","uM","uM","A2058",3385,24856436,4,5,2.95344979740032,7.9076177798603,5.32308290249895,-10.0363595480854
7641,0,0,-0.000626453810742332,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,1,1,0,0,0,0
7641,0,10,58.0512980833242,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,1,4,0,0,0,0
7641,0,2.5,30.5240203913876,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,1,2,0,0,0,0
7641,0,20,69.2480428208021,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,1,5,0,0,0,0
7641,0,5,44.3326596477718,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,1,3,0,0,0,0
7641,0.00045,0,10.3643825016159,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,2,1,0,0,0,0
7641,0.00045,10,79.3264874290524,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,2,4,15.27733482921,21.2018420744081,16.7399228193934,20.5692238340892
7641,0.00045,2.5,16.1062383247051,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,2,2,-12.6375656333243,-14.3680760473426,-21.7579641013861,-17.0028607423626
7641,0.00045,20,92.1898257813517,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,2,5,25.1307429502762,22.8626900250165,19.5917246888352,22.754957226239
7641,0.00045,5,47.6029446116128,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,2,3,-4.48520900408787,3.25901049409888,-2.66210664288513,1.85296715441228
7641,0.002,0,25.1976429911685,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,3,1,0,0,0,0
7641,0.002,10,80.0148898432364,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,3,4,15.5554650996144,21.8878711870985,11.2464215398159,19.5250793111909
7641,0.002,2.5,34.0256287594195,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,3,2,-12.5854792296031,3.48953639937142,-14.1349693641019,-6.03074732379233
7641,0.002,20,94.3410353001128,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,3,5,20.2670890489972,25.0064831421807,17.2053977944662,24.2188821200562
7641,0.002,5,61.5901249309181,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,3,3,1.49746499382938,17.1979693149624,3.07640720958321,11.9566975176891
7641,0.009,0,49.657904576391,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,4,1,0,0,0,0
7641,0.009,10,98.9072338097369,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,4,4,16.7081458259135,40.7150828600027,19.8834980111462,32.6478997697432
7641,0.009,2.5,85.6319438362107,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,4,2,20.2250016924597,35.8500169738042,20.416397405623,29.9031272450214
7641,0.009,20,99.4840712211951,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,4,5,14.9759623738119,30.1317881916368,14.8604692717014,26.7609937353028
7641,0.009,5,92.2478439013212,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,4,3,20.4558476327439,42.4431083950424,20.1057795372282,32.0488640033056
7641,0.04,0,73.9220749873716,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,5,1,0,0,0,0
7641,0.04,10,98.9927821363007,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,5,4,9.11491579583756,24.9842746415818,9.86030770886096,21.6179717620856
7641,0.04,2.5,97.1963245649834,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,5,2,16.4734466748298,23.1940104469136,15.1991749044956,22.1552359077854
7641,0.04,20,99.3085106483041,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,5,5,7.65794937502008,25.2989146638681,7.27516718363069,19.9525391094044
7641,0.04,5,98.1413698257479,"Acetyl-DL-carnitine","SORAFENIB","uM","uM","LNCAP",1,216239,5,3,13.1136154106466,24.1357976172318,12.564741982084,22.2072857768144
64716,0,0,-31.6052064538107,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,1,0,0,0,0
64716,0,0.0001954,-21.0634263566758,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,2,0,0,0,0
64716,0,0.0007812,12.7590143713876,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,3,0,0,0,0
64716,0,0.003125,47.0277982808021,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,4,0,0,0,0
64716,0,0.0125,68.2020835077718,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,5,0,0,0,0
64716,0,0.05,74.1924775316159,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,1,6,0,0,0,0
64716,0.0097656,0,-55.4472125709476,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,1,0,0,0,0
64716,0.0097656,0.0001954,0.935258324705129,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,2,-8.95630926399424,13.6220134482864,10.8152835010355,-40.4145973435602
64716,0.0097656,0.0007812,24.0199657813517,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,3,-4.38502757832158,6.97300014836165,4.95040840153548,-26.4374861289217
64716,0.0097656,0.003125,36.7072406116128,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,4,-8.69309081942205,-6.39069005259668,-7.61879559538094,-19.5720694294759
64716,0.0097656,0.0125,70.0040957811684,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,5,-5.92773386902786,1.11584105039525,0.378639344109672,-0.85738199789661
64716,0.0097656,0.05,73.0511218432364,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,2,6,-2.17031278646407,-0.706749642606695,-1.30507027796487,-0.596381730713304
64716,0.0390626,0,-21.4912512405805,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,3,1,0,0,0,0
64716,0.0390626,0.0001954,-7.62185869988718,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,3,2,-13.0157680831024,8.32328014328046,-10.2456983502216,-50.0538202621726
64716,0.0390626,0.0007812,8.93876993091814,"BENDAMUSTINE","IBRUTINIB (PCI-32765)","uM","uM","TMD8",NA,24821094,3,3,-12.0575835450429,-2.36556966462003,-15.7467867228327,-39.820657659234
