cellosaurus_accession,id
CVCL_1144,319
CVCL_1145,320
CVCL_1146,321
CVCL_1147,322
CVCL_1810,323
CVCL_T023,324
CVCL_1149,325
CVCL_1150,326
CVCL_1151,327
CVCL_2011,328
CVCL_1153,329
CVCL_1154,330
CVCL_1156,331
CVCL_1158,332
CVCL_1160,333
CVCL_1162,334
CVCL_1164,335
CVCL_1166,336
CVCL_1155,337
CVCL_0018,338
CVCL_0243,339
CVCL_1167,340
CVCL_0008,341
CVCL_1168,342
CVCL_1169,343
CVCL_1170,344
CVCL_4161,345
CVCL_1171,346
CVCL_A762,347
CVCL_0244,348
CVCL_6895,349
CVCL_1172,350
CVCL_1173,351
CVCL_2019,352
CVCL_1174,353
CVCL_1175,354
CVCL_1176,355
CVCL_2438,356
CVCL_1177,357
CVCL_1178,358
CVCL_2022,359
CVCL_1179,360
CVCL_1180,361
CVCL_1181,362
CVCL_6774,363
CVCL_1182,364
CVCL_1183,365
CVCL_1184,366
CVCL_2027,367
CVCL_1186,368
CVCL_1185,369
CVCL_2891,370
CVCL_1187,371
CVCL_1188,372
CVCL_1189,373
CVCL_1190,374
CVCL_1191,375
CVCL_0253,376
CVCL_1812,377
CVCL_1814,378
CVCL_0029,379
CVCL_1192,380
CVCL_1193,381
CVCL_1194,382
CVCL_2030,383
CVCL_1196,384
CVCL_X486,385
CVCL_X487,386
CVCL_2034,387
CVCL_0258,388
CVCL_1197,389
CVCL_1198,390
CVCL_1199,391
CVCL_1200,392
CVCL_1201,393
CVCL_1202,394
CVCL_1203,395
CVCL_1204,396
CVCL_2035,397
CVCL_2036,398
CVCL_1205,399
CVCL_1206,400
CVCL_1207,401
CVCL_EQ72,402
CVCL_1208,403
CVCL_1209,404
CVCL_1210,405
CVCL_1211,406
CVCL_1212,407
CVCL_1213,408
CVCL_1214,409
CVCL_1215,410
CVCL_1216,411
CVCL_1217,412
CVCL_S740,413
CVCL_2037,414
CVCL_V616,415
CVCL_1218,416
CVCL_3302,417
CVCL_2045,418
CVCL_1219,419
CVCL_2447,420
CVCL_2047,421
CVCL_2908,422
CVCL_2909,423
CVCL_1220,424
CVCL_0270,425
CVCL_1221,426
CVCL_W798,427
CVCL_1222,428
CVCL_1224,429
CVCL_1225,430
CVCL_1226,431
CVCL_1227,432
CVCL_1228,433
CVCL_1229,434
CVCL_1230,435
CVCL_0271,436
CVCL_1231,437
CVCL_1232,438
CVCL_3371,439
CVCL_1233,440
CVCL_2050,441
CVCL_1234,442
CVCL_2450,443
CVCL_1235,444
CVCL_2451,445
CVCL_1236,446
CVCL_1818,447
CVCL_8876,448
CVCL_8877,449
CVCL_1237,450
CVCL_7668,451
CVCL_1238,452
CVCL_1239,453
CVCL_1240,454
CVCL_1241,455
CVCL_1242,456
CVCL_2914,457
CVCL_4362,458
CVCL_1243,459
CVCL_0289,460
CVCL_2917,461
CVCL_1244,462
CVCL_V675,463
CVCL_1245,464
CVCL_1246,465
CVCL_V651,466
CVCL_5126,467
CVCL_1247,468
CVCL_5127,469
CVCL_V719,470
CVCL_V686,471
CVCL_V671,472
CVCL_5128,473
CVCL_1249,474
CVCL_1251,475
CVCL_1252,476
CVCL_L088,477
CVCL_V591,478
CVCL_V592,479
CVCL_2057,480
CVCL_1254,481
CVCL_V595,482
CVCL_1255,483
CVCL_V597,484
CVCL_A351,485
CVCL_1256,486
CVCL_1258,487
CVCL_5129,488
CVCL_V578,489
CVCL_5130,490
CVCL_0290,491
CVCL_1259,492
CVCL_2062,493
CVCL_A352,494
CVCL_1261,495
CVCL_3375,496
CVCL_1263,497
CVCL_V635,498
CVCL_5131,499
CVCL_V636,500
CVCL_3376,501
CVCL_V586,502
CVCL_V588,503
CVCL_0V16,504
CVCL_1265,505
CVCL_3377,506
CVCL_2058,507
CVCL_5134,508
CVCL_2059,509
CVCL_1267,510
CVCL_1268,511
CVCL_1269,512
CVCL_S700,513
CVCL_V579,514
CVCL_2060,515
CVCL_5135,516
CVCL_5136,517
CVCL_G002,518
CVCL_V729,519
CVCL_1270,520
CVCL_3378,521
CVCL_2061,522
CVCL_2063,523
CVCL_V622,524
CVCL_V731,525
CVCL_5137,526
CVCL_1271,527
CVCL_5138,528
CVCL_1272,529
CVCL_2478,530
CVCL_1273,531
CVCL_2067,532
CVCL_1274,533
CVCL_0293,534
CVCL_0294,535
CVCL_2923,536
CVCL_2925,537
CVCL_2927,538
CVCL_2928,539
CVCL_2929,540
CVCL_2930,541
CVCL_2931,542
CVCL_WS59,543
CVCL_0001,544
CVCL_2481,545
CVCL_0030,546
CVCL_1278,547
CVCL_0326,548
CVCL_1906,549
CVCL_0027,550
CVCL_1098,551
CVCL_0297,552
CVCL_8878,553
CVCL_1279,554
CVCL_1280,555
CVCL_0302,556
CVCL_0002,557
CVCL_5529,558
CVCL_1281,559
CVCL_2947,560
CVCL_2255,561
CVCL_2949,562
CVCL_3317,563
CVCL_IZ34,564
CVCL_2499,565
CVCL_2501,566
CVCL_1282,567
CVCL_2950,568
CVCL_1283,569
CVCL_2071,570
CVCL_1284,571
CVCL_2784,572
CVCL_0312,573
CVCL_3517,574
CVCL_0313,575
CVCL_1820,576
CVCL_2514,577
CVCL_0660,578
CVCL_0698,579
CVCL_0707,580
CVCL_0711,581
CVCL_0715,582
CVCL_0331,583
CVCL_0726,584
CVCL_0735,585
CVCL_0761,586
CVCL_0802,587
CVCL_0807,588
CVCL_0814,589
CVCL_0816,590
CVCL_0819,591
CVCL_0823,592
CVCL_0825,593
CVCL_0827,594
CVCL_0832,595
CVCL_0836,596
CVCL_0844,597
CVCL_0846,598
CVCL_0851,599
CVCL_0855,600
CVCL_0863,601
CVCL_0871,602
CVCL_0878,603
CVCL_0882,604
CVCL_0888,605
CVCL_0333,606
CVCL_0891,607
CVCL_0334,608
CVCL_0928,609
CVCL_0932,610
CVCL_0933,611
CVCL_0938,612
CVCL_0941,613
CVCL_0942,614
CVCL_0950,615
CVCL_0959,616
CVCL_0966,617
CVCL_0979,618
CVCL_0993,619
CVCL_1031,620
CVCL_1033,621
CVCL_1036,622
CVCL_1038,623
CVCL_1040,624
CVCL_2516,625
CVCL_1287,626
CVCL_1288,627
CVCL_A385,628
CVCL_1289,629
CVCL_1290,630
CVCL_0317,631
CVCL_1291,632
CVCL_1292,633
CVCL_1293,634
CVCL_1294,635
CVCL_2520,636
CVCL_1295,637
CVCL_2522,638
CVCL_0324,639
CVCL_4846,640
CVCL_2956,641
CVCL_2955,642
CVCL_1296,643
CVCL_0336,644
CVCL_2526,645
CVCL_1297,646
CVCL_1298,647
CVCL_1299,648
CVCL_1300,649
CVCL_3526,650
CVCL_0337,651
CVCL_1301,652
CVCL_3725,653
CVCL_1302,654
CVCL_1303,655
CVCL_2075,656
CVCL_2076,657
CVCL_2960,658
CVCL_1305,659
CVCL_2961,660
CVCL_2962,661
CVCL_0346,662
CVCL_1306,663
CVCL_5779,664
CVCL_5540,665
CVCL_5541,666
CVCL_E234,667
CVCL_EQ74,668
CVCL_1307,669
CVCL_2529,670
CVCL_6543,671
CVCL_1308,672
CVCL_1311,673
CVCL_1312,674
CVCL_1313,675
CVCL_1314,676
CVCL_1316,677
CVCL_0359,678
CVCL_0360,679
CVCL_0363,680
CVCL_1865,681
CVCL_8098,682
CVCL_2785,683
CVCL_2786,684
CVCL_2787,685
CVCL_0364,686
CVCL_2788,687
CVCL_2805,688
CVCL_4640,689
CVCL_4644,690
CVCL_4645,691
CVCL_4647,692
CVCL_4648,693
CVCL_4649,694
CVCL_5986,695
CVCL_5988,696
CVCL_5989,697
CVCL_5991,698
CVCL_5992,699
CVCL_5993,700
CVCL_4655,701
CVCL_4656,702
CVCL_4657,703
CVCL_4658,704
CVCL_2077,705
CVCL_1317,706
CVCL_D605,707
CVCL_2078,708
CVCL_2079,709
CVCL_2080,710
CVCL_3532,711
CVCL_2081,712
CVCL_3728,713
CVCL_0065,714
CVCL_0367,715
CVCL_2086,716
CVCL_1319,717
CVCL_1320,718
CVCL_8784,719
CVCL_2537,720
CVCL_W796,721
CVCL_6308,722
CVCL_9V29,723
CVCL_1322,724
CVCL_EQ75,725
CVCL_1323,726
CVCL_1821,727
CVCL_1822,728
CVCL_1324,729
CVCL_1325,730
CVCL_1326,731
CVCL_1823,732
CVCL_0589,733
CVCL_0590,734
CVCL_0612,735
CVCL_0614,736
CVCL_0371,737
CVCL_2090,738
CVCL_2091,739
CVCL_1327,740
CVCL_3385,741
CVCL_3386,742
CVCL_2092,743
CVCL_0374,744
CVCL_2971,745
CVCL_0375,746
CVCL_2972,747
CVCL_2093,748
CVCL_1328,749
CVCL_1329,750
CVCL_5146,751
CVCL_1330,752
CVCL_2977,753
CVCL_S641,754
CVCL_2981,755
CVCL_1332,756
CVCL_2983,757
CVCL_2984,758
CVCL_2986,759
CVCL_2985,760
CVCL_2989,761
CVCL_1334,762
CVCL_1333,763
CVCL_A637,764
CVCL_2990,765
CVCL_2991,766
CVCL_2992,767
CVCL_2993,768
CVCL_2994,769
CVCL_2995,770
CVCL_2996,771
CVCL_0378,772
CVCL_2798,773
CVCL_1335,774
CVCL_2799,775
CVCL_1336,776
CVCL_1321,777
CVCL_3001,778
CVCL_1866,779
CVCL_1337,780
CVCL_3002,781
CVCL_3003,782
CVCL_3004,783
CVCL_3005,784
CVCL_1338,785
CVCL_1339,786
CVCL_1340,787
CVCL_1341,788
CVCL_1342,789
CVCL_5310,790
CVCL_1343,791
CVCL_5870,792
CVCL_5879,793
CVCL_5880,794
CVCL_5884,795
CVCL_5868,796
CVCL_5873,797
CVCL_1344,798
CVCL_0379,799
CVCL_1345,800
CVCL_1346,801
CVCL_1825,802
CVCL_3007,803
CVCL_2095,804
CVCL_1347,805
CVCL_1348,806
CVCL_1349,807
CVCL_1359,808
CVCL_1350,809
CVCL_1351,810
CVCL_1352,811
CVCL_1353,812
CVCL_1360,813
CVCL_1354,814
CVCL_1355,815
CVCL_1356,816
CVCL_1357,817
CVCL_1362,818
CVCL_8147,819
CVCL_1363,820
CVCL_0388,821
CVCL_1364,822
CVCL_1365,823
CVCL_1366,824
CVCL_1367,825
CVCL_1368,826
CVCL_1369,827
CVCL_1370,828
CVCL_1371,829
CVCL_3008,830
CVCL_5480,831
CVCL_1372,832
CVCL_1373,833
CVCL_1374,834
CVCL_1375,835
CVCL_1376,836
CVCL_3840,837
CVCL_2574,838
CVCL_1377,839
CVCL_4849,840
CVCL_0392,841
CVCL_3954,842
CVCL_0393,843
CVCL_3957,844
CVCL_0394,845
CVCL_3958,846
CVCL_3955,847
CVCL_3956,848
CVCL_1378,849
CVCL_3959,850
CVCL_3960,851
CVCL_3962,852
CVCL_1379,853
CVCL_3540,854
CVCL_2104,855
CVCL_1380,856
CVCL_0012,857
CVCL_1382,858
CVCL_1383,859
CVCL_1384,860
CVCL_6670,861
CVCL_0397,862
CVCL_1385,863
CVCL_1386,864
CVCL_1387,865
CVCL_1389,866
CVCL_1390,867
