"cid","id"
3385,1
11960529,2
24856436,3
11977753,4
387447,5
38904,6
2907,7
3062316,8
5743,9
46926350,10
31703,11
176870,12
36462,13
60750,14
208908,15
24964624,16
59691338,17
24958200,18
24748204,19
11520894,20
46239015,21
15953832,22
4091,23
126941,24
5746,25
9826528,26
36314,27
104842,28
216239,29
5329102,30
5394,31
60700,32
13342,33
5311497,34
5311,35
5288382,36
657237,37
132971,38
2094,39
2123,40
2141,41
123608,42
2187,43
6450551,44
9444,45
77082,46
72466,47
2478,48
9854073,49
60953,50
2578,51
2662,52
2708,53
20279,54
119182,55
11626560,56
6252,57
5353562,58
457193,59
62770,60
451668,61
71384,62
148124,63
443939,64
17755248,65
176871,66
444000,67
6442177,68
60198,69
5790,70
104741,71
123631,72
60749,73
3657,74
3690,75
123596,76
57469,77
6445540,78
216326,79
3902,80
3950,81
5935,82
11683,83
460612,84
667490,85
4114,86
4211,87
4212,88
3011155,89
644241,90
11525740,91
6918197,92
439693,93
4842,94
163659,95
148121,96
9703,97
5351141,98
54900,99
5352062,100
25126798,101
5284616,102
406563,103
29327,104
2733525,105
452548,106
5426,107
2723601,108
5453,109
60699,110
444795,111
5799,112
6194,113
454216,114
3081361,115
42611257,116
5388983,117
249332,118
11607738,119
24776445,120
68740,121
216454,122
9887054,123
41867,124
14888,125
84691,126
42890,127
11876263,128
5493444,129
2719,130
5311068,131
5719,132
4011,133
6883,134
92722,135
7550,136
19861,137
119570,138
5831,139
3036780,140
3019427,141
2165,142
77999,143
16231,144
3652,145
60606,146
19493,147
65028,148
5748,149
681,150
5566,151
3002977,152
130904,153
158781,154
3055,155
4688,156
4054,157
5324346,158
65725,159
60753,160
6178111,161
68617,162
5360515,163
39764,164
4201,165
5572,166
13109,167
3696,168
3373,169
4735,170
13789,171
208898,172
4121,173
6013,174
5070,175
5546,176
83898,177
2471,178
6253,179
3955,180
4499,181
5358,182
4369359,183
3117,184
2733526,185
11243969,186
150311,187
2769,188
5073,189
10531,190
6918296,191
5833,192
5212,193
5585,194
41774,195
5281081,196
441207,197
24066,198
4197,199
5284513,200
447043,201
3779,202
4477,203
60795,204
6323490,205
4030,206
5991,207
448812,208
1935,209
5717,210
130881,211
3052,212
5462501,213
6018,214
26879,215
4032,216
4915,217
216237,218
10090750,219
456410,220
446156,221
3637,222
5755,223
208902,224
60648,225
2170,226
5401,227
68911,228
55283,229
5291,230
9651,231
60838,232
3033637,233
445643,234
394397,235
3108,236
157920,237
2249,238
5504,239
8226,240
4202,241
9049,242
40692,243
6437380,244
5577,245
6914273,246
5816,247
5533,248
5323714,249
91649,250
62886,251
6100,252
3883,253
3397,254
2082,255
5578,256
219078,257
441300,258
5311181,259
56959,260
13520,261
4891,262
15459,263
101722515,264
3878,265
3229,266
3156,267
25249,268
441314,269
54675776,270
5326,271
121396,272
5311309,273
446541,274
4037,275
54680692,276
4075,277
4173,278
3767,279
65016,280
5430,281
41684,282
657298,283
122108,284
6234,285
37542,286
3019,287
4060,288
7697,289
5284627,290
14052,291
38853,292
60490,293
2576,294
3446,295
115355,296
1986,297
4641,298
4649,299
656583,300
165580,301
2771,302
37393,303
667484,304
9690109,305
441350,306
54684141,307
33036,308
104865,309
3009,310
6435415,311
121858,312
54671008,313
2797,314
2733,315
130313,316
134018,317
9570757,318
129228,319
74989,320
449381,321
64139,322
156419,323
51634,324
4912,325
4909,326
1990,327
6151,328
5342,329
3342,330
54675769,331
3034034,332
3454,333
10113978,334
5734,335
5479,336
3331,337
1989,338
3038,339
3406,340
3899,341
4911,342
1046,343
2284,344
2796,345
1047,346
3121,347
2153,348
446987,349
5526,350
120181,351
16667669,352
5568,353
9930913,354
4826,355
517546,356
2130,357
22475,358
2477,359
6839,360
6918365,361
3415,362
38521,363
5310966,364
119119,365
12314839,366
71158,367
3519,368
5284583,369
5920,370
4674,371
3034010,372
9846180,373
6321424,374
13769,375
6337614,376
104858,377
5849,378
5284592,379
5360696,380
9927978,381
5351166,382
3085106,383
54610154,384
439525,385
25136944,386
446556,387
5035,388
44415057,389
3363,390
5351180,391
1805,392
1546,393
3367,394
54600319,395
426756,396
354624,397
356653,398
248862,399
400633,400
54608520,401
241902,402
41744,403
6326719,404
32874,405
23615975,406
16886,407
40926,408
24197464,409
54611422,410
3685,411
57519526,412
54611489,413
5360373,414
441203,415
3503,416
227456,417
5213,418
31553,419
71279,420
5284373,421
6435893,422
42598643,423
5351307,424
144,425
243,426
253,427
323,428
444,429
564,430
896,431
904,432
932,433
936,434
938,435
967,436
1174,437
1183,438
1400,439
1401,440
1645,441
1673,442
1732,443
1775,444
1981,445
1985,446
2022,447
2044,448
2049,449
2051,450
2052,451
2125,452
2145,453
2148,454
2155,455
2159,456
2162,457
2176,458
2196,459
2206,460
2214,461
2230,462
2244,463
2265,464
2310,465
2315,466
2333,467
2337,468
2355,469
2369,470
2375,471
2378,472
2391,473
2415,474
2438,475
2453,476
2466,477
2540,478
2541,479
2554,480
2577,481
2581,482
2585,483
2682,484
2717,485
2720,486
2722,487
2727,488
2741,489
2746,490
2749,491
2754,492
2756,493
2762,494
2763,495
2787,496
2794,497
2812,498
2818,499
2893,500
3023,501
3151,502
3168,503
3169,504
3182,505
3191,506
3218,507
3220,508
3308,509
3324,510
3326,511
3333,512
3334,513
3339,514
3362,515
3365,516
3366,517
3371,518
3374,519
3394,520
3440,521
3463,522
3474,523
3475,524
3476,525
3478,526
3488,527
3499,528
3516,529
3549,530
3559,531
3606,532
3639,533
3672,534
3676,535
3686,536
3702,537
3712,538
3715,539
3747,540
3749,541
3752,542
3784,543
3795,544
3822,545
3825,546
3826,547
3830,548
3885,549
3957,550
3973,551
3994,552
4006,553
4008,554
4021,555
4044,556
4055,557
4100,558
4101,559
4107,560
4122,561
4165,562
4170,563
4189,564
4205,565
4235,566
4261,567
4409,568
4410,569
4418,570
4421,571
4440,572
4463,573
4472,574
4485,575
4487,576
4488,577
4494,578
4495,579
4497,580
4507,581
4585,582
4594,583
4614,584
4621,585
4622,586
4708,587
4713,588
4725,589
4760,590
4781,591
4784,592
4788,593
4810,594
4823,595
4829,596
4843,597
4855,598
4858,599
4875,600
4878,601
4887,602
4888,603
4906,604
4993,605
5042,606
5071,607
5090,608
5092,609
5094,610
5155,611
5161,612
5186,613
5215,614
5253,615
5258,616
5323,617
5324,618
5325,619
5327,620
5328,621
5329,622
5330,623
5333,624
5336,625
5340,626
5344,627
5359,628
5379,629
5381,630
5386,631
5405,632
5429,633
5482,634
5483,635
5505,636
5510,637
5560,638
5593,639
5597,640
5614,641
5656,642
5694,643
5720,644
5730,645
5742,646
5745,647
5754,648
5756,649
5757,650
5763,651
5770,652
5780,653
5795,654
5803,655
5807,656
5815,657
5818,658
5819,659
5865,660
5870,661
5881,662
5905,663
5909,664
5959,665
5970,666
5974,667
5978,668
5994,669
6009,670
6019,671
6021,672
6029,673
6048,674
6060,675
6072,676
6103,677
6126,678
6135,679
6169,680
6172,681
6175,682
6209,683
6215,684
6230,685
6240,686
6251,687
6256,688
6279,689
6291,690
6293,691
6301,692
6436,693
6461,694
6503,695
6613,696
6741,697
6802,698
6872,699
6890,700
6912,701
7020,702
7108,703
7172,704
7533,705
7638,706
8228,707
8478,708
8515,709
8567,710
8574,711
8593,712
8617,713
8646,714
8691,715
8695,716
8732,717
8742,718
8798,719
8955,720
8980,721
9015,722
9051,723
9066,724
9082,725
9270,726
9351,727
9433,728
9458,729
9642,730
9782,731
9880,732
9903,733
10114,734
10133,735
10206,736
10207,737
10208,738
10228,739
10235,740
10237,741
10494,742
10621,743
10639,744
10648,745
10701,746
10830,747
10866,748
10917,749
10921,750
10930,751
11057,752
11065,753
11079,754
11092,755
11102,756
11224,757
11273,758
11548,759
12035,760
12456,761
12560,762
12597,763
13266,764
13770,765
13791,766
14051,767
14982,768
15443,769
15723,770
16230,771
16367,772
16490,773
17275,774
17506,775
17513,776
18343,777
19648,778
20179,779
20525,780
20933,781
21467,782
21700,783
21704,784
21718,785
22880,786
23360,787
23565,788
24360,789
25050,790
26248,791
26964,792
27200,793
27350,794
27447,795
28061,796
30751,797
31072,798
31211,799
31239,800
31307,801
31401,802
31728,803
32169,804
32798,805
33613,806
33630,807
34312,808
34359,809
35370,810
35802,811
36431,812
36708,813
37907,814
38911,815
39042,816
39212,817
39562,818
40632,819
40854,820
41114,821
41781,822
42574,823
42786,824
43231,825
44093,826
44187,827
44383,828
44561,829
47320,830
47471,831
47528,832
47812,833
47866,834
47936,835
50248,836
50515,837
50599,838
50942,839
51040,840
51082,841
51712,842
51754,843
53232,844
54259,845
54360,846
54405,847
54454,848
54840,849
54889,850
54891,851
55182,852
55245,853
56031,854
56205,855
56207,856
56329,857
56704,858
57363,859
59772,860
60164,861
60464,862
60560,863
60651,864
60656,865
60772,866
60822,867
60825,868
60834,869
60837,870
60846,871
60855,872
60857,873
60871,874
60877,875
60961,876
62074,877
62853,878
62857,879
62859,880
62878,881
62882,882
62920,883
62935,884
62969,885
62978,886
63002,887
63009,888
64150,889
64648,890
64710,891
64713,892
64715,893
64737,894
64769,895
64945,896
64971,897
64982,898
65243,899
65264,900
65335,901
65340,902
65341,903
65348,904
65399,905
65464,906
65483,907
65495,908
65625,909
65632,910
65752,911
65777,912
65859,913
65935,914
65944,915
65948,916
65958,917
65981,918
65999,919
66062,920
66064,921
66065,922
66070,923
66136,924
66259,925
66414,926
67533,927
68077,928
68304,929
68313,930
68539,931
68546,932
68551,933
68553,934
68554,935
68589,936
68591,937
68601,938
68624,939
68626,940
68643,941
68647,942
68654,943
68727,944
68827,945
68844,946
68861,947
68873,948
71157,949
71183,950
71188,951
71234,952
71301,953
71329,954
71352,955
71354,956
71360,957
71399,958
71420,959
71478,960
71485,961
71616,962
71651,963
71668,964
71764,965
71773,966
71815,967
71916,968
72092,969
72139,970
72281,971
72300,972
72301,973
72303,974
72307,975
72344,976
73078,977
73087,978
73115,979
73356,980
73442,981
73581,982
73957,983
76219,984
76621,985
77997,986
78000,987
82146,988
82148,989
83823,990
83969,991
84029,992
86471,993
90045,994
91430,995
91466,996
91469,997
91505,998
91513,999
91610,1000
92151,1001
92727,1002
92965,1003
100016,1004
101526,1005
101744,1006
102175,1007
102484,1008
104758,1009
104762,1010
104769,1011
104850,1012
107526,1013
107751,1014
107848,1015
107969,1016
107985,1017
108013,1018
108130,1019
108143,1020
110632,1021
110635,1022
114811,1023
114850,1024
114869,1025
114917,1026
115067,1027
115087,1028
115269,1029
119034,1030
119245,1031
119369,1032
119525,1033
119583,1034
119607,1035
122125,1036
123607,1037
123964,1038
123985,1039
124087,1040
125001,1041
125017,1042
127150,1043
132519,1044
133021,1045
134601,1046
134780,1047
135191,1048
137994,1049
146571,1050
148195,1051
148201,1052
149096,1053
150762,1054
151075,1055
151166,1056
151170,1057
153921,1058
153994,1059
153997,1060
154417,1061
155290,1062
155815,1063
156391,1064
156414,1065
156418,1066
156422,1067
157313,1068
158550,1069
158758,1070
159269,1071
159278,1072
159324,1073
159325,1074
159968,1075
160254,1076
160355,1077
160436,1078
161557,1079
162147,1080
163263,1081
163701,1082
163751,1083
164521,1084
164676,1085
165457,1086
165542,1087
166558,1088
167980,1089
168993,1090
170367,1091
174174,1092
175804,1093
176155,1094
176158,1095
176406,1096
176873,1097
179651,1098
180081,1099
181458,1100
185462,1101
189821,1102
193962,1103
196968,1104
200103,1105
207841,1106
210172,1107
214347,1108
216322,1109
216345,1110
216457,1111
219025,1112
219099,1113
222285,1114
225362,1115
238053,1116
240767,1117
252682,1118
300471,1119
310360,1120
311434,1121
312145,1122
327653,1123
346721,1124
374536,1125
392622,1126
398148,1127
400169,1128
400769,1129
439501,1130
439503,1131
439533,1132
440936,1133
441130,1134
441140,1135
441242,1136
441302,1137
441307,1138
441325,1139
441328,1140
441336,1141
441344,1142
441345,1143
441351,1144
441401,1145
441411,1146
442021,1147
442088,1148
442424,1149
442428,1150
442439,1151
442514,1152
442534,1153
442614,1154
443354,1155
443867,1156
443873,1157
443878,1158
443936,1159
443943,1160
444020,1161
444025,1162
444030,1163
444036,1164
444679,1165
444732,1166
445154,1167
445858,1168
446598,1169
447912,1170
447966,1171
448013,1172
448014,1173
448537,1174
448799,1175
449054,1176
449193,1177
456199,1178
456201,1179
456389,1180
462382,1181
464205,1182
468595,1183
470375,1184
509554,1185
517321,1186
521106,1187
521951,1188
568416,1189
610479,1190
616236,1191
636377,1192
636402,1193
637568,1194
638024,1195
638278,1196
644213,1197
656516,1198
656586,1199
656631,1200
656665,1201
656667,1202
656867,1203
657201,1204
657302,1205
657308,1206
666418,1207
667467,1208
667493,1209
667639,1210
672296,1211
675434,1212
676352,1213
688272,1214
689043,1215
702558,1216
704473,1217
753704,1218
789882,1219
791637,1220
836002,1221
899323,1222
929262,1223
969516,1224
1013376,1225
1048267,1226
1048845,1227
1074953,1228
1088438,1229
1150897,1230
1204893,1231
1269845,1232
1271002,1233
1274465,1234
1349907,1235
1361334,1236
1383884,1237
1548887,1238
1549008,1239
1549120,1240
1549517,1241
1550286,1242
1554208,1243
1615267,1244
1791111,1245
1794427,1246
1893668,1247
1893730,1248
1901244,1249
2296132,1250
2723716,1251
2723754,1252
2724368,1253
2725048,1254
2726824,1255
2729042,1256
2733079,1257
2761171,1258
2777391,1259
2779853,1260
2797577,1261
2800647,1262
2807869,1263
2809273,1264
2817763,1265
2819993,1266
2828334,1267
3001055,1268
3003141,1269
3005572,1270
3010818,1271
3025944,1272
3025961,1273
3025986,1274
3032771,1275
3033825,1276
3033832,1277
3033968,1278
3035714,1279
3038502,1280
3038522,1281
3038525,1282
3045381,1283
3052762,1284
3052775,1285
3085092,1286
3825829,1287
4022878,1288
4068248,1289
4210951,1290
4331799,1291
4521392,1292
4659569,1293
4908365,1294
5018304,1295
5081913,1296
5113032,1297
5277135,1298
5278396,1299
5280343,1300
5280373,1301
5280378,1302
5280443,1303
5280445,1304
5280453,1305
5280489,1306
5280567,1307
5280569,1308
5280723,1309
5280793,1310
5280794,1311
5280795,1312
5280805,1313
5280863,1314
5280961,1315
5280965,1316
5281004,1317
5281025,1318
5281032,1319
5281034,1320
5281056,1321
5281065,1322
5281066,1323
5281067,1324
5281068,1325
5281069,1326
